country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,20.5k,22.2k,23.2k,24.6k,26.3k,26.9k,26.8k,28.3k,28.6k,27.9k,30.3k,31.2k,29.8k,31.8k,34.5k,28.9k,35.8k,33.5k,38.4k,34k,32.3k,32.4k,33.2k,34.7k,35.5k,35.8k,35.9k,36.7k,38.9k,40.6k,34.1k,41.4k
Afghanistan,,,,,,,,,,,,,,,,,,,,1570,1770,1750,1960,2070,2110,2150,2040,2120,2130,2200,2100,1680
Angola,2980,3300,1620,1490,1260,2340,2410,2810,2810,2620,2780,2890,3360,3450,3760,4290,4710,5330,5570,5820,5950,6120,6790,7090,7630,6900,6660,6770,6500,6260,5830,5980
Albania,2550,1880,1740,2110,2300,2710,3050,2780,3110,3550,3980,4440,4780,5130,5560,5980,6760,7490,8270,8670,9530,10.2k,10.4k,10.8k,11.4k,11.8k,12.3k,12.8k,13.5k,13.8k,13.5k,15.5k
United Arab Emirates,,,,,,,,,,,98.6k,97k,92.2k,96.6k,104k,106k,106k,94.6k,81.9k,68.2k,65.4k,70.7k,74.9k,76k,79k,70k,69.2k,71.7k,73.5k,75.2k,71.3k,
Argentina,6870,7740,8540,9390,9990,9750,10.3k,11.2k,11.6k,11.2k,11.2k,10.8k,9480,10.5k,10.8k,12k,14.4k,16.1k,16.9k,15.8k,17.4k,18.8k,19.2k,19.7k,19.3k,19.7k,19.9k,23k,22.5k,22.1k,20.2k,23.2k
Armenia,2660,2470,1250,1440,1580,1810,1960,2140,2290,2420,2650,3000,3500,4090,4710,5560,6570,7780,8580,7340,7690,8160,9640,10.4k,10.6k,10.5k,11.2k,12.9k,13.8k,15.1k,13.9k,15.1k
Antigua and Barbuda,10.3k,11.2k,11.5k,12.4k,13.3k,12.7k,13.6k,14.4k,15k,15.5k,16.1k,15.9k,15.7k,16.9k,18.1k,19.8k,22.8k,25.2k,25.2k,22.1k,20.7k,20.3k,19.5k,18.8k,18.8k,18.4k,19.4k,19.7k,21.5k,22.5k,18.9k,20.8k
Australia,16.8k,17.1k,17.5k,18.7k,19.7k,20.3k,21.3k,22.3k,23.6k,24.7k,25.8k,26.9k,28.2k,29.2k,30.8k,31.8k,33.5k,35k,36k,38.9k,37.9k,40.3k,41.5k,44.8k,45.7k,45.3k,46.1k,47.1k,48.6k,50.1k,52.2k,55.7k
Austria,19.6k,20.6k,21.3k,21.8k,22.7k,23.6k,24.5k,25.3k,26.5k,27.2k,29.1k,29.3k,31k,32.1k,33.7k,34.9k,37.8k,39.4k,41.7k,40.9k,42.4k,44.6k,46.5k,48k,48.9k,49.4k,52.7k,53.7k,56.4k,57.9k,55.6k,58.4k
Azerbaijan,,,,3230,2610,2310,2360,2520,2790,3120,3320,3680,4030,4480,4850,5970,8140,10k,11.6k,12.9k,13.8k,13.8k,15.1k,16.3k,16.9k,14.5k,13.5k,13.6k,13.8k,14.5k,14.4k,15.5k
Burundi,600,640,650,640,630,550,520,520,540,530,540,530,550,530,550,560,590,610,620,610,630,640,650,700,730,800,770,750,760,760,750,780
Belgium,18.7k,19.7k,20.4k,20.8k,22k,22.9k,23.3k,24.3k,25k,26k,28.5k,29.3k,30.8k,31.5k,32.5k,33.6k,35.8k,37.3k,38.8k,38.5k,40.5k,41k,43.3k,44.8k,45.9k,46.9k,49.1k,50.9k,53k,54.8k,53.7k,59.4k
Benin,1200,1260,1270,1330,1330,1420,1470,1540,1580,1640,1720,1800,1850,1890,1970,2010,2080,2200,2290,2290,2290,2350,2410,2580,2730,2770,2880,2900,3080,3260,3330,3750
Burkina Faso,570,620,620,640,650,680,760,800,840,890,900,950,970,1030,1070,1160,1250,1290,1350,1350,1410,1470,1530,1590,1570,1580,1750,1900,2030,2080,2050,2270
Bangladesh,990,1040,1110,1170,1220,1280,1340,1400,1470,1530,1620,1700,1780,1860,1990,2150,2360,2580,2790,2930,3100,3330,3740,3990,4220,4450,4770,5000,5460,5930,6140,6840
Bulgaria,6950,6480,6800,6910,7190,7560,6630,5570,6060,5730,6270,6970,7950,8550,9310,10.3k,11.1k,11.9k,13.7k,13.7k,14.6k,15.3k,16.1k,16.3k,17.5k,17.8k,19.5k,21k,22.3k,23.7k,23.9k,27.2k
